Name	Name in home country	Date of birth	Place of birth	Age	Citizenship	Position	Foot	Current club	Joined	Contract expires	CL Appearances	Squad	Appearances	PPG	Goals	Assists	Own goals	Sub on	Sub off	Yellow cards	Seccond Yellow Cards	Red cards	Penalty goals	Minutes per goal	Minutes played	Market Values	Height	On loan from	Contract there expires	Social-Media
Ben Maidens																														
Jorge Avellano																														
Dion Danino																														
Jesse Gonzalez																														
Kivan Castle																														
Oliver Pritchard																														
Michael Zapata																														
Sam Bunch																														
Antony Moulds																														
Riccardo Andrady																														
Leon Avellano	Leon Gerald Avellano	Apr 25, 2004	Gibraltar	18	Gibraltar	Defender - Right-Back	right	Europa Point FC	Jul 1, 2021	Jun 30, 2022	0.0	4	4			-	-	-	1	1	1	-	-	-	-	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 25000, 'verein': 'Europa Point FC', 'age': '17', 'mw': '€25Th.', 'datum_mw': 'Nov 15, 2021', 'x': 1636930800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/44631.png?lm=1575993924)'}}, {'y': 25000, 'verein': 'Europa Point FC', 'age': '18', 'mw': '€25Th.', 'datum_mw': 'Jun 24, 2022', 'x': 1656021600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/44631.png?lm=1575993924)'}}]}]				
Mark Ballester		Mar 19, 1995	Gibraltar	27	Gibraltar	Defender - Right-Back	right	Europa Point FC	Jan 31, 2022	Jun 30, 2022	0.0	19	19	1.68	3	-	-	3	3	1	-	1	-	464'	1.393'	[{'type': 'line', 'name': 'Market value', 'data': [{'y': 50000, 'verein': 'Europa FC', 'age': '26', 'mw': '€50Th.', 'datum_mw': 'Nov 15, 2021', 'x': 1636930800000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/42246.png?lm=1532381234)'}}, {'y': 25000, 'verein': 'Europa Point FC', 'age': '27', 'mw': '€25Th.', 'datum_mw': 'Jun 24, 2022', 'x': 1656021600000, 'marker': {'symbol': 'url(https://tmssl.akamaized.net/images/wappen/verysmall/44631.png?lm=1575993924)'}}]}]	1,76 m	Europa FC	Jun 30, 2022	
Jemar Matto																														
Nazim Hughes																														
Sebastian Pandura																														
Ilyas El Ouahabi																														
Mohamed El Andaloussi																														
Elton Victory																														
Aiman Mkerreff																														
Mamadu Djau																														
Adam Reese																														
Kegan Caull																														
Naoufal El Andaloussi																														
Ade Francis																														
Mark Chichon																														
Johan Wahnon																														
Alex Taylor																														
Marc Bannatyne																														
